18
55
2
6
2
5
7
2
3
4
1 1 3
2 2 0
3 0 5
4 4 3
5 5 2
6 3 1
7 5 0
8 4 1
9 3 4
10 4 2
11 5 1
12 1 4
13 1 5
14 4 4
15 1 2
16 3 2
17 2 4
18 5 5
7 16 4 7
16 7 4 7
7 17 7 12
17 7 7 12
7 18 5 8
18 7 5 8
8 9 4 7
9 8 4 7
8 10 1 1
10 8 1 1
8 11 1 1
11 8 1 1
8 12 6 10
12 8 6 10
8 13 7 12
13 8 7 12
8 14 3 5
14 8 3 5
8 15 4 7
15 8 4 7
8 16 2 3
16 8 2 3
8 17 5 8
17 8 5 8
8 18 5 8
18 8 5 8
9 10 3 5
10 9 3 5
9 11 5 8
11 9 5 8
9 12 2 3
12 9 2 3
9 13 3 5
13 9 3 5
9 14 1 1
14 9 1 1
9 15 4 7
15 9 4 7
9 16 2 3
16 9 2 3
9 17 1 1
17 9 1 1
9 18 3 5
18 9 3 5
10 11 2 3
11 10 2 3
10 12 5 8
12 10 5 8
10 13 6 10
13 10 6 10
10 14 2 3
14 10 2 3
10 15 3 5
15 10 3 5
10 16 1 1
16 10 1 1
10 17 4 7
17 10 4 7
10 18 4 7
18 10 4 7
11 12 7 12
12 11 7 12
11 13 8 14
13 11 8 14
11 14 4 7
14 11 4 7
11 15 5 8
15 11 5 8
11 16 3 5
16 11 3 5
11 17 6 10
17 11 6 10
11 18 4 7
18 11 4 7
12 13 1 1
13 12 1 1
12 14 3 5
14 12 3 5
12 15 2 3
15 12 2 3
12 16 4 7
16 12 4 7
12 17 1 1
17 12 1 1
12 18 5 8
18 12 5 8
13 14 4 7
14 13 4 7
13 15 3 5
15 13 3 5
13 16 5 8
16 13 5 8
13 17 2 3
17 13 2 3
13 18 4 7
18 13 4 7
14 15 5 8
15 14 5 8
14 16 3 5
16 14 3 5
14 17 2 3
17 14 2 3
14 18 2 3
18 14 2 3
15 16 2 3
16 15 2 3
15 17 3 5
17 15 3 5
15 18 7 12
18 15 7 12
16 17 3 5
17 16 3 5
16 18 5 8
18 16 5 8
17 18 4 7
18 17 4 7
0 1 2 3
1 0 2 3
0 2 4 7
2 0 4 7
0 3 5 8
3 0 5 8
0 4 1 1
4 0 1 1
0 5 3 5
5 0 3 5
0 6 2 3
6 0 2 3
0 7 5 8
7 0 5 8
0 8 3 5
8 0 3 5
0 9 1 1
9 0 1 1
0 10 2 3
10 0 2 3
0 11 4 7
11 0 4 7
0 12 3 5
12 0 3 5
0 13 4 7
13 0 4 7
0 14 2 3
14 0 2 3
0 15 3 5
15 0 3 5
0 16 1 1
16 0 1 1
0 17 2 3
17 0 2 3
0 18 4 7
18 0 4 7
