30
1
3
7
2
13
30
8
7
10
12
18
19
20
21
27
1 3 4
2 3 2
3 2 5
4 1 4
5 0 4
6 6 3
7 3 5
8 1 2
9 4 1
10 2 2
11 4 3
12 3 0
13 1 5
14 0 3
15 5 4
16 5 3
17 1 3
18 3 3
19 5 0
20 0 0
21 6 1
22 2 4
23 4 5
24 1 0
25 5 6
26 4 2
27 4 0
28 2 6
29 3 1
30 6 0
8 4 2 4
4 9 6 14
9 4 6 14
4 10 3 7
10 4 3 7
4 11 4 9
11 4 4 9
4 12 6 14
12 4 6 14
4 13 1 2
13 4 1 2
4 14 2 4
14 4 2 4
4 15 4 9
15 4 4 9
4 16 5 12
16 4 5 12
4 17 1 2
17 4 1 2
4 18 3 7
18 4 3 7
4 19 8 19
19 4 8 19
4 20 5 12
20 4 5 12
4 21 8 19
21 4 8 19
4 22 1 2
22 4 1 2
4 23 4 9
23 4 4 9
4 24 4 9
24 4 4 9
4 25 6 14
25 4 6 14
4 26 5 12
26 4 5 12
4 27 7 16
27 4 7 16
4 28 3 7
28 4 3 7
4 29 5 12
29 4 5 12
4 30 9 21
30 4 9 21
5 6 7 16
6 5 7 16
5 7 4 9
7 5 4 9
5 8 3 7
8 5 3 7
5 9 7 16
9 5 7 16
5 10 4 9
10 5 4 9
5 11 5 12
11 5 5 12
5 12 7 16
12 5 7 16
5 13 2 4
13 5 2 4
5 14 1 2
14 5 1 2
5 15 5 12
15 5 5 12
5 16 6 14
16 5 6 14
5 17 2 4
17 5 2 4
5 18 4 9
18 5 4 9
5 19 9 21
19 5 9 21
5 20 4 9
20 5 4 9
5 21 9 21
21 5 9 21
5 22 2 4
22 5 2 4
5 23 5 12
23 5 5 12
5 24 5 12
24 5 5 12
5 25 7 16
25 5 7 16
5 26 6 14
26 5 6 14
5 27 8 19
27 5 8 19
5 28 4 9
28 5 4 9
5 29 6 14
29 5 6 14
5 30 10 24
30 5 10 24
6 7 5 12
7 6 5 12
6 8 6 14
8 6 6 14
6 9 4 9
9 6 4 9
6 10 5 12
10 6 5 12
6 11 2 4
11 6 2 4
6 12 6 14
12 6 6 14
6 13 7 16
13 6 7 16
6 14 6 14
14 6 6 14
6 15 2 4
15 6 2 4
6 16 1 2
16 6 1 2
6 17 5 12
17 6 5 12
6 18 3 7
18 6 3 7
6 19 4 9
19 6 4 9
6 20 9 21
20 6 9 21
6 21 2 4
21 6 2 4
6 22 5 12
22 6 5 12
6 23 4 9
23 6 4 9
6 24 8 19
24 6 8 19
6 25 4 9
25 6 4 9
6 26 3 7
26 6 3 7
6 27 5 12
27 6 5 12
6 28 7 16
28 6 7 16
6 29 5 12
29 6 5 12
6 30 3 7
30 6 3 7
7 8 5 12
8 7 5 12
7 9 5 12
9 7 5 12
7 10 4 9
10 7 4 9
7 11 3 7
11 7 3 7
7 12 5 12
12 7 5 12
7 13 2 4
13 7 2 4
7 14 5 12
14 7 5 12
7 15 3 7
15 7 3 7
7 16 4 9
16 7 4 9
7 17 4 9
17 7 4 9
7 18 2 4
18 7 2 4
7 19 7 16
19 7 7 16
7 20 8 19
20 7 8 19
7 21 7 16
21 7 7 16
7 22 2 4
22 7 2 4
7 23 1 2
23 7 1 2
7 24 7 16
24 7 7 16
7 25 3 7
25 7 3 7
7 26 4 9
26 7 4 9
7 27 6 14
27 7 6 14
7 28 2 4
28 7 2 4
7 29 4 9
29 7 4 9
7 30 8 19
30 7 8 19
8 9 4 9
9 8 4 9
8 10 1 2
10 8 1 2
8 11 4 9
11 8 4 9
8 12 4 9
12 8 4 9
8 13 3 7
13 8 3 7
8 14 2 4
14 8 2 4
8 15 6 14
15 8 6 14
8 16 5 12
16 8 5 12
8 17 1 2
17 8 1 2
8 18 3 7
18 8 3 7
8 19 6 14
19 8 6 14
8 20 3 7
20 8 3 7
8 21 6 14
21 8 6 14
8 22 3 7
22 8 3 7
8 23 6 14
23 8 6 14
8 24 2 4
24 8 2 4
8 25 8 19
25 8 8 19
8 26 3 7
26 8 3 7
8 27 5 12
27 8 5 12
8 28 5 12
28 8 5 12
8 29 3 7
29 8 3 7
8 30 7 16
30 8 7 16
9 10 3 7
10 9 3 7
9 11 2 4
11 9 2 4
9 12 2 4
12 9 2 4
9 13 7 16
13 9 7 16
9 14 6 14
14 9 6 14
9 15 4 9
15 9 4 9
9 16 3 7
16 9 3 7
9 17 5 12
17 9 5 12
9 18 3 7
18 9 3 7
9 19 2 4
19 9 2 4
9 20 5 12
20 9 5 12
9 21 2 4
21 9 2 4
9 22 5 12
22 9 5 12
9 23 4 9
23 9 4 9
9 24 4 9
24 9 4 9
9 25 6 14
25 9 6 14
9 26 1 2
26 9 1 2
9 27 1 2
27 9 1 2
9 28 7 16
28 9 7 16
9 29 1 2
29 9 1 2
9 30 3 7
30 9 3 7
10 11 3 7
11 10 3 7
10 12 3 7
12 10 3 7
10 13 4 9
13 10 4 9
10 14 3 7
14 10 3 7
10 15 5 12
15 10 5 12
10 16 4 9
16 10 4 9
10 17 2 4
17 10 2 4
10 18 2 4
18 10 2 4
10 19 5 12
19 10 5 12
10 20 4 9
20 10 4 9
10 21 5 12
21 10 5 12
10 22 2 4
22 10 2 4
10 23 5 12
23 10 5 12
10 24 3 7
24 10 3 7
10 25 7 16
25 10 7 16
10 26 2 4
26 10 2 4
10 27 4 9
27 10 4 9
10 28 4 9
28 10 4 9
10 29 2 4
29 10 2 4
10 30 6 14
30 10 6 14
11 12 4 9
12 11 4 9
11 13 5 12
13 11 5 12
11 14 4 9
14 11 4 9
11 15 2 4
15 11 2 4
11 16 1 2
16 11 1 2
11 17 3 7
17 11 3 7
11 18 1 2
18 11 1 2
11 19 4 9
19 11 4 9
11 20 7 16
20 11 7 16
11 21 4 9
21 11 4 9
11 22 3 7
22 11 3 7
11 23 2 4
23 11 2 4
11 24 6 14
24 11 6 14
11 25 4 9
25 11 4 9
11 26 1 2
26 11 1 2
11 27 3 7
27 11 3 7
11 28 5 12
28 11 5 12
11 29 3 7
29 11 3 7
11 30 5 12
30 11 5 12
12 13 7 16
13 12 7 16
12 14 6 14
14 12 6 14
12 15 6 14
15 12 6 14
12 16 5 12
16 12 5 12
12 17 5 12
17 12 5 12
12 18 3 7
18 12 3 7
12 19 2 4
19 12 2 4
12 20 3 7
20 12 3 7
12 21 4 9
21 12 4 9
12 22 5 12
22 12 5 12
12 23 6 14
23 12 6 14
12 24 2 4
24 12 2 4
12 25 8 19
25 12 8 19
12 26 3 7
26 12 3 7
12 27 1 2
27 12 1 2
12 28 7 16
28 12 7 16
12 29 1 2
29 12 1 2
12 30 3 7
30 12 3 7
13 14 3 7
14 13 3 7
13 15 5 12
15 13 5 12
13 16 6 14
16 13 6 14
13 17 2 4
17 13 2 4
13 18 4 9
18 13 4 9
13 19 9 21
19 13 9 21
13 20 6 14
20 13 6 14
13 21 9 21
21 13 9 21
13 22 2 4
22 13 2 4
13 23 3 7
23 13 3 7
13 24 5 12
24 13 5 12
13 25 5 12
25 13 5 12
13 26 6 14
26 13 6 14
13 27 8 19
27 13 8 19
13 28 2 4
28 13 2 4
13 29 6 14
29 13 6 14
13 30 10 24
30 13 10 24
14 15 6 14
15 14 6 14
14 16 5 12
16 14 5 12
14 17 1 2
17 14 1 2
14 18 3 7
18 14 3 7
14 19 8 19
19 14 8 19
14 20 3 7
20 14 3 7
14 21 8 19
21 14 8 19
14 22 3 7
22 14 3 7
14 23 6 14
23 14 6 14
14 24 4 9
24 14 4 9
14 25 8 19
25 14 8 19
14 26 5 12
26 14 5 12
14 27 7 16
27 14 7 16
14 28 5 12
28 14 5 12
14 29 5 12
29 14 5 12
14 30 9 21
30 14 9 21
15 16 1 2
16 15 1 2
15 17 5 12
17 15 5 12
15 18 3 7
18 15 3 7
15 19 4 9
19 15 4 9
15 20 9 21
20 15 9 21
15 21 4 9
21 15 4 9
15 22 3 7
22 15 3 7
15 23 2 4
23 15 2 4
15 24 8 19
24 15 8 19
15 25 2 4
25 15 2 4
15 26 3 7
26 15 3 7
15 27 5 12
27 15 5 12
15 28 5 12
28 15 5 12
15 29 5 12
29 15 5 12
15 30 5 12
30 15 5 12
16 17 4 9
17 16 4 9
16 18 2 4
18 16 2 4
16 19 3 7
19 16 3 7
16 20 8 19
20 16 8 19
16 21 3 7
21 16 3 7
16 22 4 9
22 16 4 9
16 23 3 7
23 16 3 7
16 24 7 16
24 16 7 16
16 25 3 7
25 16 3 7
16 26 2 4
26 16 2 4
16 27 4 9
27 16 4 9
16 28 6 14
28 16 6 14
16 29 4 9
29 16 4 9
16 30 4 9
30 16 4 9
17 18 2 4
18 17 2 4
17 19 7 16
19 17 7 16
17 20 4 9
20 17 4 9
17 21 7 16
21 17 7 16
17 22 2 4
22 17 2 4
17 23 5 12
23 17 5 12
17 24 3 7
24 17 3 7
17 25 7 16
25 17 7 16
17 26 4 9
26 17 4 9
17 27 6 14
27 17 6 14
17 28 4 9
28 17 4 9
17 29 4 9
29 17 4 9
17 30 8 19
30 17 8 19
18 19 5 12
19 18 5 12
18 20 6 14
20 18 6 14
18 21 5 12
21 18 5 12
18 22 2 4
22 18 2 4
18 23 3 7
23 18 3 7
18 24 5 12
24 18 5 12
18 25 5 12
25 18 5 12
18 26 2 4
26 18 2 4
18 27 4 9
27 18 4 9
18 28 4 9
28 18 4 9
18 29 2 4
29 18 2 4
18 30 6 14
30 18 6 14
19 20 5 12
20 19 5 12
19 21 2 4
21 19 2 4
19 22 7 16
22 19 7 16
19 23 6 14
23 19 6 14
19 24 4 9
24 19 4 9
19 25 6 14
25 19 6 14
19 26 3 7
26 19 3 7
19 27 1 2
27 19 1 2
19 28 9 21
28 19 9 21
19 29 3 7
29 19 3 7
19 30 1 2
30 19 1 2
20 21 7 16
21 20 7 16
20 22 6 14
22 20 6 14
20 23 9 21
23 20 9 21
20 24 1 2
24 20 1 2
20 25 11 26
25 20 11 26
20 26 6 14
26 20 6 14
20 27 4 9
27 20 4 9
20 28 8 19
28 20 8 19
20 29 4 9
29 20 4 9
20 30 6 14
30 20 6 14
21 22 7 16
22 21 7 16
21 23 6 14
23 21 6 14
21 24 6 14
24 21 6 14
21 25 6 14
25 21 6 14
21 26 3 7
26 21 3 7
21 27 3 7
27 21 3 7
21 28 9 21
28 21 9 21
21 29 3 7
29 21 3 7
21 30 1 2
30 21 1 2
22 23 3 7
23 22 3 7
22 24 5 12
24 22 5 12
22 25 5 12
25 22 5 12
22 26 4 9
26 22 4 9
22 27 6 14
27 22 6 14
22 28 2 4
28 22 2 4
22 29 4 9
29 22 4 9
22 30 8 19
30 22 8 19
23 24 8 19
24 23 8 19
23 25 2 4
25 23 2 4
23 26 3 7
26 23 3 7
23 27 5 12
27 23 5 12
23 28 3 7
28 23 3 7
23 29 5 12
29 23 5 12
23 30 7 16
30 23 7 16
24 25 10 24
25 24 10 24
24 26 5 12
26 24 5 12
24 27 3 7
27 24 3 7
24 28 7 16
28 24 7 16
24 29 3 7
29 24 3 7
24 30 5 12
30 24 5 12
25 26 5 12
26 25 5 12
25 27 7 16
27 25 7 16
25 28 3 7
28 25 3 7
25 29 7 16
29 25 7 16
25 30 7 16
30 25 7 16
26 27 2 4
27 26 2 4
26 28 6 14
28 26 6 14
26 29 2 4
29 26 2 4
26 30 4 9
30 26 4 9
27 28 8 19
28 27 8 19
27 29 2 4
29 27 2 4
27 30 2 4
30 27 2 4
28 29 6 14
29 28 6 14
28 30 10 24
30 28 10 24
29 30 4 9
30 29 4 9
0 1 1 2
1 0 1 2
0 2 2 4
2 0 2 4
0 3 3 7
3 0 3 7
0 4 3 7
4 0 3 7
0 5 4 9
5 0 4 9
0 6 3 7
6 0 3 7
0 7 2 4
7 0 2 4
0 8 4 9
8 0 4 9
0 9 3 7
9 0 3 7
0 10 3 7
10 0 3 7
0 11 1 2
11 0 1 2
0 12 4 9
12 0 4 9
0 13 4 9
13 0 4 9
0 14 4 9
14 0 4 9
0 15 2 4
15 0 2 4
0 16 2 4
16 0 2 4
0 17 3 7
17 0 3 7
0 18 1 2
18 0 1 2
0 19 5 12
19 0 5 12
0 20 7 16
20 0 7 16
0 21 5 12
21 0 5 12
0 22 2 4
22 0 2 4
0 23 2 4
23 0 2 4
0 24 6 14
24 0 6 14
0 25 4 9
25 0 4 9
0 26 2 4
26 0 2 4
0 27 4 9
27 0 4 9
0 28 4 9
28 0 4 9
0 29 3 7
29 0 3 7
0 30 6 14
30 0 6 14
